Points_m_XYZ:0,Points_m_XYZ:1,Points_m_XYZ:2,intensity,azimuth,distance_m
1.1746998279,-2.5191519105,-0.0485176899,250,91,2.78
0.8894590194,-1.9074510227,0.4858942774,103,77,2.16
1.0255549598,-2.1993097086,-0.1271763737,238,93,2.43
0.8836381125,-1.8949680475,0.4064231602,115,79,2.13
0.8672807476,-1.8598895653,-0.1795408301,90,95,2.06
0.8765717723,-1.8798142319,0.3285123766,115,81,2.1
0.872493709,-1.8710687969,-0.2534882343,191,97,2.08
0.8599096651,-1.8440822278,0.249832154,122,83,2.05
0.872397621,-1.8708627356,-0.3269480319,182,99,2.09
0.8967514526,-1.9230896962,0.1856417321,217,85,2.13
0.8794895768,-1.8860714839,-0.4045150702,178,101,2.12
1.059318086,-2.2717149665,0.1313632502,250,87,2.51
0.8688696903,-1.8632970638,-0.4746467247,151,103,2.11
1.1789253669,-2.528213608,0.048692214,250,89,2.79
0.8613397557,-1.8471490669,-0.5461081852,139,105,2.11
0.8917964519,-1.896882337,0.5616373279,107,75,2.17
1.1868621533,-2.5244974346,-0.048692214,250,91,2.79
0.8830102898,-1.8781938618,0.4791457458,104,77,2.13
1.023961616,-2.1780022772,-0.1261296545,236,93,2.41
0.8812340306,-1.8744156963,0.4026069802,75,79,2.11
0.8688810295,-1.8481404296,-0.1786692726,82,95,2.05
0.8824730474,-1.8770511285,0.3285123766,77,81,2.1
0.8825904505,-1.877300849,-0.2547069277,190,97,2.09
0.8741446089,-1.8593362476,0.2522695408,154,83,2.07
0.8782707948,-1.8681127898,-0.3269480319,187,99,2.09
1.1570952247,-2.4611821331,0.2379351777,250,85,2.73
0.8812340306,-1.8744156963,-0.4026069802,179,101,2.11
1.0452056329,-2.2231890464,0.1287464524,244,87,2.46
0.8788647015,-1.8693760502,-0.4768962352,154,103,2.12
1.1911161395,-2.5335458125,0.048866738,250,89,2.8
0.8671384855,-1.8444339774,-0.5461081852,137,105,2.11
0.8812028623,-1.8591575626,0.5512845661,64,75,2.13
1.0577506983,-2.2316373381,-0.0431074439,247,91,2.47
0.8763866336,-1.8489963063,0.4723972141,114,77,2.1
0.9024837259,-1.9040558263,-0.1104288677,208,93,2.11
0.8787096183,-1.8538973284,0.3987908003,68,79,2.09
0.8704160911,-1.8363996844,-0.1777977152,79,95,2.04
