Points_m_XYZ:0,Points_m_XYZ:1,Points_m_XYZ:2,intensity,azimuth,distance_m
0.2473188719,-1.8964747222,0.5124617093,59,75,1.98
0.2909140232,-2.2307682672,-0.0392679145,239,91,2.25
0.2482209581,-1.9033920414,0.4431535771,75,77,1.97
0.2479441829,-1.9012696915,-0.100485036,206,93,1.92
0.2462615422,-1.8883669745,0.370169451,77,79,1.94
0.2421867414,-1.8571208478,-0.1638527964,127,95,1.88
0.2452276545,-1.8804389829,0.3003541729,79,81,1.92
0.2425832457,-1.860161297,-0.230333059,119,97,1.89
0.2464337734,-1.8896876668,0.2339891393,199,83,1.92
0.2439504271,-1.8706450298,-0.2987898282,189,99,1.91
0.3143274729,-2.4103057812,0.2126600123,250,85,2.44
0.2462615422,-1.8883669745,-0.370169451,172,101,1.94
0.2401959272,-1.8418550136,0.0973448786,85,87,1.86
0.2431809386,-1.8647444872,-0.4341555349,157,103,1.93
0.2340241698,-1.7945291394,0.0315888557,62,89,1.81
0.2423225311,-1.8581621016,-0.5021089475,151,105,1.94
0.2545547624,-1.9052625734,0.5150498998,82,75,1.99
0.3085134788,-2.3091266453,-0.040664107,250,91,2.33
0.2541994058,-1.9026028406,0.4431535771,77,77,1.97
0.2552384434,-1.9103797112,-0.1010083955,215,93,1.93
0.252192797,-1.8875840036,0.370169451,80,79,1.94
0.2519776175,-1.8859734521,-0.1664674686,198,95,1.91
0.2524419976,-1.8894491913,0.3019185175,81,81,1.93
0.2497403309,-1.8692280634,-0.2315517525,120,97,1.9
0.2510547537,-1.8790661059,0.2327704459,193,83,1.91
0.2498260183,-1.869869407,-0.2987898282,189,99,1.91
0.3232173628,-2.4191806061,0.2135315697,250,85,2.45
0.252192797,-1.8875840036,-0.370169451,174,101,1.94
0.2499485274,-1.8707863493,0.0989149573,128,87,1.89
0.2490379965,-1.8639713109,-0.4341555349,160,103,1.93
0.2423088696,-1.8136059059,0.0319379038,75,89,1.83
0.2481589141,-1.8573916545,-0.5021089475,158,105,1.94
0.2618482967,-1.9140235832,0.5176380902,92,75,2
0.3103453993,-2.2685212036,-0.0399660107,245,91,2.29
0.2614960316,-1.911448643,0.4454030876,77,77,1.98
0.2639459467,-1.9293567039,-0.1020551147,214,93,1.95
0.2581215628,-1.886782403,0.370169451,83,79,1.94
0.2646526682,-1.9345226019,-0.1708252558,219,95,1.96
0.2597153607,-1.8984325334,0.3034828622,87,81,1.94
0.2542661186,-1.8586003935,-0.230333059,120,97,1.89
0.2583020887,-1.8881019871,0.2339891393,196,83,1.92
0.2530216659,-1.8495038598,-0.2956611389,154,99,1.89
0.3362169101,-2.4576333055,0.2170177994,250,85,2.49
0.2581215628,-1.886782403,-0.370169451,180,101,1.94
0.2571781019,-1.8798860192,0.0994383169,199,87,1.9
0.2562132835,-1.8728335189,-0.4364050454,165,103,1.94
0.2480052755,-1.8128357216,0.0319379038,107,89,1.83
0.2539928478,-1.8566028757,-0.5021089475,155,105,1.94
0.2678600771,-1.9131915186,0.5176380902,110,75,2
0.3202432949,-2.2873388311,-0.0403150589,248,91,2.31
0.2688507331,-1.9202672821,0.4476525981,83,77,1.99
0.2672365959,-1.9087383021,-0.1010083955,205,93,1.93
0.2654088521,-1.8956836352,0.372077541,82,79,1.95
0.2734913733,-1.9534130711,-0.1725683706,227,95,1.98
0.2643086959,-1.8878257658,0.3019185175,83,81,1.93
0.2601038196,-1.8577924225,-0.230333059,120,97,1.89
0.2642324516,-1.8872811911,0.2339891393,197,83,1.92
0.2588307954,-1.8486998432,-0.2956611389,125,99,1.89
0.3135481906,-2.2395190259,0.197843536,243,85,2.27
