Points_m_XYZ:0,Points_m_XYZ:1,Points_m_XYZ:2,intensity,laser_id,azimuth,distance_m
-3.3352161017,-2.0111371334,-0.2041102293,98,19,93,3.9
-2.597526706,-1.5663100244,0.5895997957,69,20,79,3.09
-2.6360744449,-1.589554332,-0.2693112451,67,21,95,3.09
-2.8081026299,-1.6932874216,0.5193624239,96,22,81,3.32
-2.6349196069,-1.588857964,-0.3777949646,71,23,97,3.1
-2.8389133829,-1.7118663225,0.407043607,75,24,83,3.34
-3.2733003548,-1.9738019041,-0.6054013797,89,25,99,3.87
-2.5251716365,-1.5226798779,0.2579809985,74,26,85,2.96
-3.2868380002,-1.9819651117,-0.7460631719,77,27,101,3.91
-2.4714806497,-1.4903041835,0.1512509135,55,28,87,2.89
-3.2708826664,-1.9723440367,-0.881808133,72,29,103,3.92
-4.9832399543,-3.0048964179,0.1015730055,60,30,89,5.82
-3.2673513574,-1.9702146555,-1.0223352282,63,31,105,3.95
-2.6832210896,-1.6295003063,0.8411618966,108,0,75,3.25
-2.5125256256,-1.5258382145,-0.0513100749,76,1,91,2.94
-2.9815100606,-1.8106489904,0.8053247746,111,2,77,3.58
-3.3032746992,-2.0060542737,-0.2025401507,78,3,93,3.87
-2.600983457,-1.5795580007,0.5915078857,60,4,79,3.1
-2.6225529302,-1.5926569821,-0.2684396877,63,5,95,3.08
-2.7943270862,-1.6969741556,0.5177980793,91,6,81,3.31
-2.6129478738,-1.5868239025,-0.3753575777,86,7,97,3.08
-2.8420049926,-1.7259285952,0.4082623004,72,8,83,3.35
-3.2755254061,-1.9892023334,-0.6069657244,110,9,99,3.88
-2.5033459788,-1.5202634829,0.2562378837,61,10,85,2.94
-3.2638147251,-1.9820905235,-0.742246992,78,11,101,3.89
-2.4497153454,-1.4876939962,0.1502041944,57,12,87,2.87
-3.2480137531,-1.9724947102,-0.8773091119,70,13,103,3.9
-4.9481372015,-3.0049670959,0.1010494333,58,14,89,5.79
-3.2446335022,-1.9704419088,-1.0171588473,63,15,105,3.93
-2.6863289034,-1.6429615983,0.843750087,62,16,75,3.26
-2.4906603551,-1.5232905072,-0.0509610268,83,17,91,2.92
-2.9758070352,-1.8200067299,0.8053247746,113,18,77,3.58
-3.2799176699,-2.0060011156,-0.2014934315,76,19,93,3.85
-2.596008302,-1.587721423,0.5915078857,60,20,79,3.1
-2.6345335075,-1.6112834794,-0.2701828025,64,21,95,3.1
-2.5951857644,-1.5872183581,0.4818181523,84,22,81,3.08
-2.3708634849,-1.4500226147,-0.3412341615,66,23,97,2.8
-2.7857645947,-1.7037765723,0.4009501398,68,24,83,3.29
-3.2524081333,-1.989176254,-0.6038370351,112,25,99,3.86
-2.4815605942,-1.5177250838,0.2544947688,60,26,85,2.92
-3.2408232674,-1.9820909377,-0.7384308121,78,27,101,3.87
-2.4194717357,-1.4797514723,0.1486341157,54,28,87,2.84
-3.2251763398,-1.9725212603,-0.8728100909,70,29,103,3.88
-4.9045537814,-2.9996302796,0.100351337,58,30,89,5.75
-3.2137063568,-1.9655062066,-1.0093942759,63,31,105,3.9
-2.6729297401,-1.6463272057,0.8411618966,64,0,75,3.25
-2.4688360582,-1.520620579,-0.0506119787,76,1,91,2.9
-2.9783709377,-1.8344564131,0.8075742851,93,2,77,3.59
-3.2565937447,-2.0058211031,-0.2004467124,76,3,93,3.83
-2.5910075255,-1.5958691751,0.5915078857,63,4,79,3.1
-2.6294585186,-1.6195521455,-0.2701828025,63,5,95,3.1
-2.5901865724,-1.5953635286,0.4818181523,89,6,81,3.08
-2.2817858261,-1.405411458,-0.3290472272,69,7,97,2.7
-2.569121819,-1.5823891971,0.370482804,70,8,83,3.04
-3.2209138221,-1.9838449074,-0.5991440011,89,9,99,3.83
-2.4682981578,-1.5202892721,0.2536232114,61,10,85,2.91
-3.2095060961,-1.9768185911,-0.7327065422,79,11,101,3.84
-2.4063081716,-1.4821080214,0.1481107562,56,12,87,2.83
-3.2023709804,-1.972423887,-0.8683110698,68,13,103,3.86
-4.8525398385,-2.9888059657,0.0994787167,56,14,89,5.7
-3.1828424905,-1.9603957803,-1.0016297045,62,15,105,3.87
-2.6923698023,-1.6699906286,0.8489264679,63,16,75,3.28
-2.4470532868,-1.5178286627,-0.0502629305,76,17,91,2.88
-2.9725931347,-1.8438041733,0.8075742851,73,18,77,3.59
-3.224817129,-2.0002506266,-0.1988766337,78,19,93,3.8
-2.577639302,-1.5988269793,0.5895997957,62,20,79,3.09
-2.6497545868,-1.6435577773,-0.2727974748,61,21,95,3.13
-2.5767684337,-1.5982868076,0.4802538077,74,22,81,3.07
-2.353271321,-1.4596587174,-0.3400154681,91,23,97,2.79
-2.5557032626,-1.5852207576,0.3692641105,69,24,83,3.03
-3.0551912373,-1.8950371269,-0.5694214527,69,25,99,3.64
-2.4465785163,-1.5175341778,0.2518800965,60,26,85,2.89
-3.1865961598,-1.9765433854,-0.7288903623,77,27,101,3.82
-2.3931537641,-1.4843965177,0.1475873966,55,28,87,2.82
-3.1795982277,-1.9722027926,-0.8638120487,67,29,103,3.84
-4.8176361584,-2.9882251797,0.0989551445,55,30,89,5.67
-3.1684595845,-1.9652938495,-0.9990415141,63,31,105,3.86
-2.6871100944,-1.6784407028,0.8489264679,62,0,75,3.28
-2.4337927056,-1.5202118989,-0.0500884065,78,1,91,2.87
-2.9667859935,-1.8531337359,0.8075742851,69,2,77,3.59
-3.2015776883,-1.9997908967,-0.1978299146,76,3,93,3.78
-2.5642781486,-1.6017165902,0.5876917058,62,4,79,3.08
-2.6276798675,-1.6413189964,-0.2710543599,63,5,95,3.11
-2.57173456,-1.6063740638,0.4802538077,67,6,81,3.07
-2.2813285697,-1.4249787293,-0.3302659206,74,7,97,2.71
-2.5338741678,-1.5827254521,0.3668267236,70,8,83,3.01
-2.8230441262,-1.7633487281,-0.5271841472,83,9,99,3.37
-2.4333498451,-1.5199352764,0.2510085391,49,10,85,2.88
-3.1637197938,-1.9761438451,-0.7250741824,79,11,101,3.8
-2.3800088106,-1.4866170423,0.147064037,54,12,87,2.81
-3.1485946059,-1.9666962489,-0.8570635171,68,13,103,3.81
0,0,0,43,14,89,0
-3.1458849885,-1.9650037496,-0.9938651332,62,15,105,3.84
-2.6818238657,-1.6868742115,0.8489264679,64,16,75,3.28
-2.4036145224,-1.5118798084,-0.0495648343,75,17,91,2.84
-2.9032151785,-1.826129925,0.7918277113,62,18,77,3.52
-3.169920011,-1.9938879609,-0.1962598359,77,19,93,3.75
-2.5426151619,-1.5993115734,0.5838755259,70,20,79,3.06
-2.630943063,-1.6548700537,-0.2719259174,68,21,95,3.12
-2.5833963161,-1.6249630259,0.483382497,62,22,81,3.09
-2.2600373646,-1.4215694014,-0.3278285338,60,23,97,2.69
-2.5288893931,-1.590678029,0.3668267236,83,24,83,3.01
-2.9930611041,-1.8826432468,-0.5600353848,73,25,99,3.58
-2.3864002783,-1.5010520039,0.246650752,38,26,85,2.83
-3.1408775529,-1.9756201789,-0.7212580025,76,27,101,3.78
-2.3584204882,-1.4834526429,0.1460173179,55,28,87,2.79
-3.1259049791,-1.9662023909,-0.852564496,67,29,103,3.79
-2.2004921684,-1.3841153175,0.0453762567,114,30,89,2.6
-3.1233436485,-1.9645913073,-0.9886887523,63,31,105,3.82
-2.6846712636,-1.7004596417,0.8515146584,65,0,75,3.29
-2.3988529584,-1.5194235128,-0.0495648343,76,1,91,2.84
-2.3706522857,-1.5015613238,0.6478590365,54,2,77,2.88
-3.1552040203,-1.9984931379,-0.1957364763,76,3,93,3.74
-2.529285498,-1.6020389424,0.5819674359,78,4,79,3.05
-2.4994940857,-1.5831691854,-0.258852556,54,5,95,2.97
-2.5615907167,-1.6225009339,0.4802538077,58,6,81,3.07
-2.2555602272,-1.4286624913,-0.3278285338,70,7,97,2.69
-2.5322646417,-1.6039259196,0.3680454171,76,8,83,3.02
-2.720125647,-1.7229163011,-0.509976356,63,9,99,3.26
-2.3900886207,-1.5138722177,0.2475223094,65,10,85,2.84
-3.1097772517,-1.9697200111,-0.7155337327,76,11,101,3.75
-2.3284393305,-1.474823813,0.1444472392,55,12,87,2.76
-3.1032496935,-1.9655854828,-0.8480654749,69,13,103,3.77
-2.3819596277,-1.5087233473,0.0492157862,111,14,89,2.82
-3.0926760149,-1.9588881587,-0.9809241809,63,15,105,3.79
-2.6874596898,-1.7140795604,0.8541028488,62,16,75,3.3
-2.4024975345,-1.5323288135,-0.0497393583,100,17,91,2.85
-2.3577082893,-1.5037619368,0.645609526,51,18,77,2.87
-3.115231827,-1.9869154581,-0.1936430381,69,19,93,3.7
-2.4994114802,-1.5941411689,0.576243166,71,20,79,3.02
-2.183744453,-1.3928066517,-0.2266049311,57,21,95,2.6
0,0,0,48,22,81,0
-2.2426925724,-1.430404152,-0.3266098403,81,23,97,2.68
-2.5272132718,-1.6118733355,0.3680454171,72,24,83,3.02
-2.1068066916,-1.3437352387,-0.3957791966,64,25,99,2.53
-2.3685228298,-1.5106595222,0.2457791945,64,26,85,2.82
-3.1118500548,-1.9847585414,-0.7174418226,72,27,101,3.76
-2.3237945521,-1.4821315309,0.1444472392,55,28,87,2.76
-3.0806292979,-1.9648457362,-0.8435664538,67,29,103,3.75
-2.3687782709,-1.5108224442,0.0490412621,122,30,89,2.81
-3.0702191001,-1.9582060433,-0.9757478,61,31,105,3.77
-2.6901889559,-1.7277337309,0.8566910393,63,0,75,3.31
-2.3556073173,-1.512853664,-0.048866738,83,1,91,2.8
-2.3365754342,-1.500630721,0.6411105049,49,2,77,2.85
-2.4535689743,-1.5757680771,-0.1528209922,77,3,93,2.92
-2.4778718664,-1.591376247,0.5724269861,78,4,79,3
-2.2212687845,-1.4265767451,-0.2309627183,48,5,95,2.65
0,0,0,49,6,81,0
-2.2465392122,-1.4428063004,-0.3278285338,80,7,97,2.69
-2.5471913001,-1.6358956194,0.3717014974,67,8,83,3.05
-2.6261408983,-1.6865998212,-0.4943329095,75,9,99,3.16
-2.4475867362,-1.5719260738,0.2544947688,59,10,85,2.92
-1.9988166389,-1.2837101726,-0.4617577688,62,11,101,2.42
-2.3107242052,-1.4840281548,0.1439238797,54,12,87,2.75
-3.0662428505,-1.9692487356,-0.8413169432,66,13,103,3.74
-2.347194434,-1.5074506152,0.048692214,111,14,89,2.79
-3.0559246145,-1.9626220025,-0.9731596096,62,15,105,3.76
-2.6847478537,-1.7361766688,0.8566910393,64,16,75,3.31
-2.1493421081,-1.3899396981,-0.0446781605,66,17,91,2.56
-2.3236676128,-1.5026727705,0.6388609943,52,18,77,2.84
-2.4569920917,-1.5888912395,-0.1533443518,72,19,93,2.93
-2.4728601909,-1.5991528451,0.5724269861,78,20,79,3
-2.3673495788,-1.5309210882,-0.246650752,41,21,95,2.83
0,0,0,49,22,81,0
-2.2419954238,-1.4498568799,-0.3278285338,62,23,97,2.69
-2.5503739765,-1.6492795734,0.3729201908,67,24,83,3.06
-3.0106362331,-1.9469226427,-0.5678571081,93,25,99,3.63
-2.5262882431,-1.6337037761,0.2632103431,60,26,85,3.02
0,0,0,51,27,101,0
-2.2808936824,-1.4750116626,0.142353801,54,28,87,2.72
-3.0354953674,-1.962998584,-0.8345684116,62,29,103,3.71
-2.3340511955,-1.509387641,0.0485176899,112,30,89,2.78
-3.0254107233,-1.9564770316,-0.9653950382,63,31,105,3.73
-2.687069305,-1.7503421825,0.8592792297,63,0,75,3.32
-2.1279654506,-1.3861450035,-0.0443291124,77,1,91,2.54
-2.3105074567,-1.5050518633,0.6366114838,54,2,77,2.83
-2.4266068001,-1.5806783378,-0.1517742731,75,3,93,2.9
-2.4428681762,-1.5912709088,0.5667027163,73,4,79,2.97
-2.6377177068,-1.7181948226,-0.2754121471,70,5,95,3.16
-2.4331241177,-1.5849236827,0.4599173272,103,6,81,2.94
-2.1041090151,-1.3706050524,-0.3083294388,51,7,97,2.53
-2.5448907455,-1.65772785,0.3729201908,66,8,83,3.06
-3.037267181,-1.9784591549,-0.5741144867,109,9,99,3.67
-2.3372182212,-1.5224511086,0.2440360797,53,10,85,2.8
-3.0350786431,-1.9770335534,-0.7040851929,105,11,101,3.69
-2.2676222167,-1.4771166536,0.1418304414,53,12,87,2.71
0,0,0,50,13,103,0
-2.3122774188,-1.5062048069,0.0481686418,93,14,89,2.76
-3.0027190125,-1.9559546677,-0.9602186573,61,15,105,3.71
-2.6815571917,-1.7587752082,0.8592792297,65,16,75,3.32
-2.1236002538,-1.3928233528,-0.0443291124,67,17,91,2.54
-2.3057678027,-1.5123030975,0.6366114838,52,18,77,2.83
-2.4049280965,-1.5773401837,-0.150727554,72,19,93,2.88
-2.4378570043,-1.5989375403,0.5667027163,73,20,79,2.97
-2.623976746,-1.7210094425,-0.2745405897,65,21,95,3.15
-2.4198739788,-1.5871428638,0.4583529826,87,22,81,2.93
-2.1163919083,-1.3880955553,-0.3107668257,39,23,97,2.55
-2.5230711377,-1.6548276424,0.370482804,67,24,83,3.04
-2.8328217567,-1.8579863559,-0.5365702151,77,25,99,3.43
-2.532345812,-1.6609107001,0.264953458,69,26,85,3.04
-3.0124360963,-1.975791506,-0.700269013,107,27,101,3.67
-2.2546200904,-1.4787564223,0.1413070819,55,28,87,2.7
-1.9146835111,-1.2557993919,-0.5286349777,49,29,103,2.35
-2.2908128722,-1.5024944829,0.0478195936,82,30,89,2.74
-2.980405433,-1.9547832886,-0.9550422764,57,31,105,3.69
-2.6921392066,-1.7778366037,0.8644556106,65,0,75,3.34
-2.1108707352,-1.3939781603,-0.0441545883,73,1,91,2.53
-2.2928746306,-1.5141700087,0.6343619732,48,2,77,2.82
-2.3832944815,-1.5738815274,-0.1496808349,75,3,93,2.86
-2.4082478145,-1.5903602254,0.5609784464,72,4,79,2.94
-2.25279039,-1.4876991524,-0.2361920628,48,5,95,2.71
-2.414875889,-1.5947372774,0.4583529826,109,6,81,2.93
-2.1948449795,-1.4494331253,-0.32295376,26,7,97,2.65
