,X,Y,Z,ref,phjj,r
0,-1.1958216511856057,0.06790367431301485,0.3209356159271257,70.0,75.0,1.24
1,-3.0546132086505193,0.17345350811033625,-0.05340436369808744,96.0,91.0,3.06
2,-3.08378537280875,0.17511002363841885,0.7130948422700518,80.0,77.0,3.17
3,-3.040921398888157,0.17267603080848493,-0.1596246665409787,88.0,93.0,3.05
4,-3.0577510190660733,0.1736316858982217,0.5953240655748202,92.0,79.0,3.12
5,-3.0434530158142663,0.1728197864354761,-0.2666965728078342,90.0,95.0,3.06
6,-3.0569094183060654,0.1735838963437739,0.4849468416247159,98.0,81.0,3.1
7,-3.0521254161627374,0.17331224101529644,-0.3753575776878539,80.0,97.0,3.08
8,-2.744930974925578,0.15586847649752308,0.3375780812322586,93.0,83.0,2.77
9,-3.0470484201824974,0.17302394829105208,-0.4833824969743132,79.0,99.0,3.09
10,-3.0434530158142663,0.1728197864354761,0.26669657280783393,98.0,85.0,3.06
11,-3.047950535030605,0.17307517408444534,-0.5934159756210543,73.0,101.0,3.11
12,-3.0608618670775876,0.17380833264985204,0.16067138566583797,93.0,87.0,3.07
13,-1.1576355184991838,0.0657353085582708,-0.26769175466919937,47.0,103.0,1.19
14,-3.0546132086505193,0.17345350811033625,0.05340436369808781,99.0,89.0,3.06
15,-3.037772742931176,0.17249723716612644,-0.8152799920729407,69.0,105.0,3.15
16,-1.186383679611412,0.06362924991248198,0.3183474254761005,71.0,75.0,1.23
17,-3.0551430541213946,0.1638563175217871,-0.05340436369808744,97.0,91.0,3.06
18,-3.084320278409337,0.1654211779694444,0.7130948422700518,78.0,77.0,3.17
19,-3.0514208329186583,0.1636566838390176,-0.16014802610340817,89.0,93.0,3.06
20,-3.0582814088135963,0.16402463672446657,0.5953240655748202,92.0,79.0,3.12
21,-3.0439809254663572,0.16325765969636988,-0.2666965728078342,90.0,95.0,3.06
22,-3.0574396620716517,0.16397949136826634,0.4849468416247159,98.0,81.0,3.1
23,-3.0526548301074286,0.16372286674161896,-0.3753575776878539,82.0,97.0,3.08
24,-2.7454071037005114,0.14724426651762482,0.3375780812322586,95.0,83.0,2.77
25,-3.0475769534843242,0.16345052526707837,-0.4833824969743132,78.0,99.0,3.09
26,-3.0539285755495804,0.1637911814600835,0.26756813023531045,99.0,85.0,3.07
27,-3.038677040808381,0.16297319674546357,-0.591507885667289,66.0,101.0,3.1
