,X,Y,Z,ref,phjj,r
0,-1.1818916141463165,-0.2469100223101668,0.3235238063781509,65.0,75.0,1.25
1,-1.6736082973042854,-0.349634989435439,-0.029843615007754745,96.0,91.0,1.71
2,-1.8026424630973277,-0.37659163112186494,0.42515749270990466,63.0,77.0,1.89
3,-1.6520187456931053,-0.34512469711575505,-0.08844776605057508,86.0,93.0,1.69
4,-1.7103714512820463,-0.35731521244421083,0.33964001177024994,66.0,79.0,1.78
5,-1.6479908297646206,-0.3442832216370717,-0.14729320524354242,79.0,95.0,1.69
6,-1.672591518882893,-0.349422573356244,0.2706316245195995,93.0,81.0,1.73
7,-1.6711022226540726,-0.34911144316403075,-0.20961527065685345,64.0,97.0,1.72
8,-1.6711022226540724,-0.34911144316403075,0.20961527065685367,88.0,83.0,1.72
9,-0.0,-0.0,-0.0,52.0,99.0,0.0
10,-1.6772451048491996,-0.3503947581158363,0.14990787752597198,93.0,85.0,1.72
11,-1.5470213688562329,-0.32318960226695476,-0.30720248255623717,18.0,101.0,1.61
12,-1.6715692633936152,-0.3492090130579533,0.08949448517543418,107.0,87.0,1.71
13,-5.131331455800859,-1.071990992293986,-1.2102366723699938,73.0,103.0,5.38
14,-1.6736082973042854,-0.349634989435439,0.029843615007754953,112.0,89.0,1.71
15,-4.680290792019414,-0.9777636883482606,-1.2811542732574783,67.0,105.0,4.95
16,-1.1622123308365306,-0.24661187064749585,0.3183474254761005,63.0,75.0,1.23
17,-1.6529402069107426,-0.3507402784147989,-0.029494566879009074,86.0,91.0,1.69
18,-1.6870726641275688,-0.35798290431085905,0.3981633661886409,58.0,77.0,1.77
19,-1.6411575588911422,-0.34824009768861164,-0.08792440648814565,68.0,93.0,1.68
20,-1.6996379993715371,-0.36064916481043363,0.3377319218164845,55.0,79.0,1.77
21,-1.6469011014018429,-0.3494588300365018,-0.14729320524354242,66.0,95.0,1.69
22,-1.681147289428834,-0.35672558867242443,0.27219596917000183,86.0,81.0,1.74
23,-5.835280955747126,-1.2381984892680629,-0.7324347538649356,109.0,97.0,6.01
24,-1.6894157841930115,-0.35848009506263384,0.21205265752495664,93.0,83.0,1.74
25,-5.845368448876118,-1.2403389721081424,-0.9464285134933964,116.0,99.0,6.05
26,-1.6761360321959584,-0.3556622412205817,0.14990787752597198,92.0,85.0,1.72
27,-1.5171909824898469,-0.32193541265564135,-0.3014782126949408,4.0,101.0,1.58
28,-1.6606951488779418,-0.3523858131372856,0.08897112561300474,84.0,87.0,1.7
29,-5.137469864207681,-1.0901287312065142,-1.2124861829134324,72.0,103.0,5.39
30,-1.6529402069107426,-0.3507402784147989,0.029494566879009282,89.0,89.0,1.69
31,-4.6488493233461226,-0.9864474825899834,-1.2733897019044025,99.0,105.0,4.92
32,-1.1614318427865844,-0.25026184538218604,0.3183474254761005,64.0,75.0,1.23
33,-1.6518301687150192,-0.3559314038512631,-0.029494566879009074,67.0,91.0,1.69
34,-1.6764146210778728,-0.361228787812492,0.39591385564520226,66.0,77.0,1.76
35,-0.0,-0.0,-0.0,58.0,93.0,0.0
36,-1.6697085231134203,-0.3597837779633811,0.33200765195518817,47.0,79.0,1.74
37,-0.0,-0.0,-0.0,55.0,95.0,0.0
38,-1.6703630310250648,-0.35992480936251375,0.2706316245195995,88.0,81.0,1.73
39,-5.831362250934589,-1.2565244246356266,-0.7324347538649356,127.0,97.0,6.01
40,-1.6591729532609227,-0.35751360501279894,0.2083965772228022,78.0,83.0,1.71
41,-5.8414429697697345,-1.2586965876550333,-0.9464285134933964,126.0,99.0,6.05
42,-1.6555335514456375,-0.3567293976397728,0.14816476267101883,73.0,85.0,1.7
43,-1.4969800552051356,-0.32256476644992793,-0.2976620327874099,0.0,101.0,1.56
44,-1.6595799028218532,-0.35760129328200596,0.08897112561300474,75.0,87.0,1.7
45,-5.134019777050985,-1.1062631626757566,-1.2124861829134324,71.0,103.0,5.39
46,-1.6518301687150192,-0.3559314038512631,0.029494566879009282,64.0,89.0,1.69
47,-5.165066813042778,-1.112953084748421,-1.415740176710789,250.0,105.0,5.47
48,-1.1700759885551353,-0.2559736537931186,0.3209356159271257,64.0,75.0,1.24
49,-0.0,-0.0,-0.0,60.0,91.0,0.0
50,-1.6752715164707848,-0.3664936084160646,0.39591385564520226,65.0,77.0,1.76
51,-5.81432454893968,-1.27198054971537,-0.3119222992079453,112.0,93.0,5.96
52,-1.7069279220571765,-0.3734189755573148,0.33964001177024994,32.0,79.0,1.78
53,-5.819611774682023,-1.2731372186026342,-0.5211913416309962,112.0,95.0,5.98
54,-1.6595753588966586,-0.3630598119412536,0.2690672798691972,79.0,81.0,1.72
55,-5.8467782924081595,-1.2790803478277555,-0.7348721407330386,123.0,97.0,6.03
56,-1.6483454555711228,-0.36060308313551975,0.20717788378875074,69.0,83.0,1.7
57,-5.847108531926599,-1.2791525932348817,-0.9479928581437986,121.0,99.0,6.06
58,-0.0,-0.0,0.0,60.0,85.0,0.0
59,-1.5247277506016352,-0.3335596467056913,-0.30338630264870625,0.0,101.0,1.59
60,-0.0,-0.0,0.0,57.0,87.0,0.0
61,-5.111481842868247,-1.1182219756785607,-1.2079871618265552,67.0,103.0,5.37
62,-0.0,-0.0,0.0,57.0,89.0,0.0
63,-5.633349719092062,-1.2323892847942888,-1.5451496992620495,250.0,105.0,5.97
64,-1.15983648591273,-0.2575543489020293,0.3183474254761005,62.0,75.0,1.23
65,-5.827148125830794,-1.293981832553728,-0.10419086643058235,96.0,91.0,5.97
66,-1.6836238769147664,-0.3738670551249759,0.3981633661886409,65.0,77.0,1.77
67,-5.820048643442828,-1.2924053150133825,-0.3124456587703747,96.0,93.0,5.97
68,-1.6386664568918214,-0.3638837693920628,0.3262833820938918,16.0,79.0,1.71
69,-5.825308439945166,-1.2935733102264757,-0.5220628990584728,94.0,95.0,5.99
70,-0.0,-0.0,0.0,56.0,81.0,0.0
71,-5.842731096923336,-1.2974422013405749,-0.7348721407330386,119.0,97.0,6.03
72,-0.0,-0.0,0.0,55.0,83.0,0.0
73,-5.843061107846843,-1.2975154838675231,-0.9479928581437986,118.0,99.0,6.06
74,-5.825308439945166,-1.2935733102264757,0.5220628990584723,111.0,85.0,5.99
75,-1.475758095680354,-0.3277081899788168,-0.293845852879879,0.0,101.0,1.54
76,-5.839546293839621,-1.2967349810603286,0.3134923778952344,114.0,87.0,5.99
77,-5.088919627962712,-1.1300501383721022,-1.2034881407396778,61.0,103.0,5.35
78,-5.8173874087021,-1.2918143587973567,0.10401634236621024,93.0,89.0,5.96
79,-4.6299163787248006,-1.0281234578121659,-1.2708015114533775,70.0,105.0,4.91
80,-1.1778675130430387,-0.2654439082450373,0.3235238063781509,61.0,75.0,1.25
81,-5.823054212898945,-1.3122819426450607,-0.10419086643058235,81.0,91.0,5.97
82,-1.6824410325090238,-0.3791544618691701,0.3981633661886409,54.0,77.0,1.77
83,-5.80621774223569,-1.3084876801117804,-0.3119222992079453,82.0,93.0,5.96
84,-1.541754075034451,-0.3474492866965619,0.30720248255623733,3.0,79.0,1.61
85,-5.811497596095584,-1.3096775465679085,-0.5211913416309962,83.0,95.0,5.98
86,-5.838956015112892,-1.3158655685461647,0.9479928581437993,108.0,81.0,6.06
87,-5.848308866615258,-1.317973324663497,-0.7360908341670901,119.0,97.0,6.04
88,-5.819260974893659,-1.311427099540996,0.7324347538649364,112.0,83.0,6.01
89,-5.848591256061924,-1.3180369638737988,-0.9495572027942011,117.0,99.0,6.07
90,-5.821215819500426,-1.3118676427996274,0.5220628990584723,114.0,85.0,5.99
91,-0.0,-0.0,-0.0,0.0,101.0,0.0
92,-5.825701694390844,-1.3128785783671892,0.31296901833280494,86.0,87.0,5.98
93,-5.075839047230614,-1.1438897324188522,-1.2012386301962392,53.0,103.0,5.34
94,-5.8035464935927505,-1.3078856882308394,0.10384181830183742,78.0,89.0,5.95
95,-4.588971830815678,-1.0341694665226653,-1.2604487496492767,62.0,105.0,4.87
96,-1.15819534068037,-0.264836684617181,0.3183474254761005,60.0,75.0,1.23
