"Points:0","Points:1","Points:2","intensity","laser_id","azimuth","distance_m","timestamp"
0.057625,7.0246,-0.49123,64.0,9.0,47.0,7.042,254259732.0
0.025254,3.0785,-1.3707,5.0,10.0,47.0,3.37,254259732.0
0.057489,7.0081,-0.32683,82.0,11.0,47.0,7.016,254259732.0
0.026946,3.2848,-1.3721,7.0,12.0,47.0,3.56,254259732.0
0.057618,7.0239,-0.16308,102.0,13.0,47.0,7.026,254259732.0
0.028822,3.5135,-1.372,3.0,14.0,47.0,3.772,254259732.0
0.057618,7.0238,0.0,60.0,15.0,47.0,7.024,254259732.0
0.030941,3.7718,-1.3729,6.0,16.0,47.0,4.014,254259732.0
0.05775,7.0399,0.16345,76.0,17.0,47.0,7.042,254259732.0
0.033386,4.0698,-1.3752,4.0,18.0,47.0,4.296,254259732.0
0.057637,7.0261,0.32767,76.0,19.0,47.0,7.034,254259732.0
0.036099,4.4006,-1.3732,5.0,20.0,47.0,4.61,254259732.0
0.057526,7.0126,0.49039,45.0,21.0,47.0,7.03,254259732.0
0.039568,4.8234,-1.3831,3.0,22.0,47.0,5.018,254259732.0
0.057662,7.0292,0.65582,75.0,23.0,47.0,7.06,254259732.0
0.043153,5.2605,-1.3772,7.0,24.0,47.0,5.438,254259732.0
0.057782,7.0438,0.82374,82.0,25.0,47.0,7.092,254259732.0
0.0477,5.8148,-1.3778,3.0,26.0,47.0,5.976,254259732.0
0.057707,7.0346,0.98869,82.0,27.0,47.0,7.104,254259732.0
0.053069,6.4693,-1.3751,6.0,28.0,47.0,6.614,254259732.0
0.057665,7.0295,1.1549,81.0,29.0,47.0,7.124,254259732.0
0.057605,7.0222,-1.3231,75.0,30.0,47.0,7.146,254259732.0
0.057637,7.0261,1.3238,75.0,31.0,47.0,7.15,254259732.0
0.025327,2.3033,-1.366,3.0,0.0,63.0,2.678,254260285.0
0.071284,6.4827,-1.0651,1.0,1.0,63.0,6.57,254260285.0
0.026706,2.4287,-1.3647,3.0,2.0,63.0,2.786,254260285.0
0.077133,7.0146,-0.9859,80.0,3.0,63.0,7.084,254260285.0
0.028018,2.548,-1.3549,3.0,4.0,63.0,2.886,254260285.0
0.077211,7.0217,-0.82119,51.0,5.0,63.0,7.07,254260285.0
0.029791,2.7093,-1.3609,7.0,6.0,63.0,3.032,254260285.0
0.07716,7.0171,-0.6547,76.0,7.0,63.0,7.048,254260285.0
0.031683,2.8813,-1.3639,3.0,8.0,63.0,3.188,254260285.0
