,X,Y,Z,ref,phjj,r
0,-2.2165653443322233,2.7168093687023673,0.9395131337221503,82.0,75.0,3.63
1,-1.2830985772271544,1.5726737966435211,-0.035428385067685454,113.0,91.0,2.03
2,-0.0,0.0,0.0,58.0,77.0,0.0
3,-1.2752223373887264,1.56302001303732,-0.10571863161074656,87.0,93.0,2.02
4,-1.272127301406269,1.559226475989061,0.39115844052191706,65.0,79.0,2.05
5,-1.2847082975998056,1.5746468056507188,-0.1777977152052228,89.0,95.0,2.04
6,-1.2799821811563734,1.5688540788701046,0.3206906533324734,87.0,81.0,2.05
7,-1.28000307490788,1.5688796880135414,-0.24861346054650063,33.0,97.0,2.04
8,-1.2674540251538808,1.5534985146016436,0.24617607367839794,90.0,83.0,2.02
9,-3.153126836507164,3.8647380967287943,-0.7899940484531656,80.0,99.0,5.05
10,-1.2847082975998056,1.5746468056507188,0.1777977152052226,114.0,85.0,2.04
11,-3.158599006906297,3.871445250138693,-0.971217786466613,76.0,101.0,5.09
12,-1.2878483011252486,1.578495458710957,0.1067653507356057,112.0,87.0,2.04
13,-2.944299363789717,3.6087815395391303,-1.0752660397636749,74.0,103.0,4.78
14,-1.2767778945807156,1.5649266350837012,0.03525386100331287,116.0,89.0,2.02
15,-2.55851481893995,3.135931475168849,-1.0844517989795626,71.0,105.0,4.19
16,-1.2811121365616496,1.5602065493676949,0.5409318042642683,61.0,75.0,2.09
17,-1.2753429580316789,1.5531805366791496,-0.03507933693893978,91.0,91.0,2.01
18,-1.2861284613716322,1.5663156967240663,0.46789819303523905,71.0,77.0,2.08
19,-1.2674518896406368,1.5435703735764448,-0.10467191248588768,73.0,93.0,2.0
20,-1.289478196637001,1.5703951826258258,0.3949746204294479,90.0,79.0,2.07
21,-1.2833270404420034,1.5629039772053726,-0.1769261577777462,84.0,95.0,2.03
22,-1.2849045570440343,1.5648251608894415,0.3206906533324734,92.0,81.0,2.05
23,-1.2786268765813584,1.5571798674813315,-0.24739476711244912,29.0,97.0,2.03
24,-1.2786268765813582,1.557179867481331,0.24739476711244937,94.0,83.0,2.03
25,-3.152717035088533,3.839546614279947,-0.786865359152361,79.0,99.0,5.03
26,-1.2770052323610086,1.5552049428349033,0.17605460035026943,94.0,85.0,2.02
27,-3.1582871772703363,3.846330229909632,-0.9674016065590822,79.0,101.0,5.07
28,-1.2801264085370432,1.5590060773122092,0.10571863161074681,75.0,87.0,2.02
29,-2.961805447101018,3.6070443208212866,-1.0775155503071134,73.0,103.0,4.79
30,-1.2753429580316789,1.5531805366791496,0.035079336938940026,95.0,89.0,2.01
31,-2.562224273123299,3.1204130987353897,-1.0818636085285371,64.0,105.0,4.18
32,-1.279854194735741,1.548728315000351,0.5383436138132431,72.0,75.0,2.08
33,-1.2865853514219427,1.556873565448022,-0.035253861003312625,79.0,91.0,2.02
34,-1.2910428323790564,1.5622674821927975,0.46789819303523905,67.0,77.0,2.08
35,-1.2786563708725625,1.5472788500996473,-0.1051952720483171,86.0,93.0,2.01
36,-1.2756458691010009,1.5436358965857602,0.38925035056815166,72.0,79.0,2.04
37,-1.288230707058529,1.5588645804191863,-0.1769261577777462,87.0,95.0,2.03
38,-1.283522474606149,1.5531672338443994,0.3191263086820711,73.0,81.0,2.04
